Target Distance: 100, Step Size: 10
158: (x,y) = (43.4561, -46.9017)
159: (x,y) = (38.0097, -55.2884)
160: (x,y) = (33.0097, -46.6282)
161: (x,y) = (38.7454, -38.4366)
162: (x,y) = (30.5539, -44.1724)
163: (x,y) = (40.402, -42.4359)
164: (x,y) = (35.7073, -51.2654)
165: (x,y) = (44.3675, -56.2654)
166: (x,y) = (54.3128, -55.2201)
167: (x,y) = (45.7411, -60.3705)
168: (x,y) = (36.678, -56.1443)
169: (x,y) = (38.2424, -46.2674)
170: (x,y) = (46.0138, -52.5606)
171: (x,y) = (48.433, -42.8577)
172: (x,y) = (56.8197, -37.4113)
173: (x,y) = (49.0483, -43.7045)
174: (x,y) = (58.951, -45.0962)
175: (x,y) = (67.6112, -50.0962)
176: (x,y) = (77.3927, -48.0171)
177: (x,y) = (69.7322, -54.445)
178: (x,y) = (64.8841, -45.6988)
179: (x,y) = (74.8294, -46.7441)
180: (x,y) = (74.1318, -56.7197)
181: (x,y) = (69.2837, -47.9735)
182: (x,y) = (62.2126, -55.0446)
183: (x,y) = (69.8731, -48.6167)
184: (x,y) = (71.4374, -38.7398)
185: (x,y) = (61.6937, -36.4903)
186: (x,y) = (58.9374, -46.1029)
187: (x,y) = (55.03, -36.8979)
188: (x,y) = (45.1046, -35.6792)
189: (x,y) = (38.2846, -42.9927)
190: (x,y) = (38.9822, -52.9684)
191: (x,y) = (31.1021, -59.125)
192: (x,y) = (38.5335, -52.4337)
193: (x,y) = (28.7898, -54.6832)
194: (x,y) = (22.6332, -46.8031)
195: (x,y) = (16.2053, -39.1426)
196: (x,y) = (18.4548, -29.3989)
197: (x,y) = (27.2843, -34.0936)
198: (x,y) = (35.671, -39.54)
199: (x,y) = (26.466, -35.6327)
200: (x,y) = (25.0742, -45.5354)
201: (x,y) = (28.1644, -55.046)
202: (x,y) = (20.6173, -48.4854)
203: (x,y) = (30.5792, -49.3569)
204: (x,y) = (39.7147, -45.2896)
205: (x,y) = (42.3029, -54.9488)
206: (x,y) = (32.3409, -54.0773)
207: (x,y) = (39.0322, -61.5087)
208: (x,y) = (31.3718, -67.9366)
209: (x,y) = (23.0814, -62.3447)
210: (x,y) = (15.2013, -68.5013)
211: (x,y) = (12.2776, -78.0643)
212: (x,y) = (2.27913, -77.8898)
213: (x,y) = (-4.28146, -85.4369)
214: (x,y) = (-2.54498, -95.285)
215: (x,y) = (-11.9419, -98.7052)
216: (x,y) = (-21.505, -95.7815)
217: (x,y) = (-13.8445, -89.3536)
218: (x,y) = (-23.4076, -86.4299)
219: (x,y) = (-14.2025, -82.5226)
220: (x,y) = (-17.2927, -73.012)
221: (x,y) = (-12.1423, -81.5837)
222: (x,y) = (-18.1604, -89.57)
223: (x,y) = (-14.0931, -80.4346)
224: (x,y) = (-23.6561, -77.5108)
225: (x,y) = (-13.7109, -76.4656)
226: (x,y) = (-14.9296, -86.391)
227: (x,y) = (-21.3575, -78.7306)
228: (x,y) = (-30.1037, -73.8825)
229: (x,y) = (-20.4007, -71.4633)
230: (x,y) = (-23.8209, -62.0663)
231: (x,y) = (-22.7756, -52.1211)
232: (x,y) = (-32.0475, -55.8672)
233: (x,y) = (-36.4312, -64.8551)
234: (x,y) = (-38.3393, -55.0389)
235: (x,y) = (-41.595, -64.494)
236: (x,y) = (-40.8974, -74.4697)
237: (x,y) = (-32.607, -68.8778)
238: (x,y) = (-25.0599, -75.4383)
239: (x,y) = (-31.8799, -68.1248)
240: (x,y) = (-31.5309, -78.1187)
241: (x,y) = (-40.9278, -81.5389)
242: (x,y) = (-50.8898, -80.6674)
243: (x,y) = (-60.549, -78.0792)
244: (x,y) = (-65.549, -86.7394)
After 244 steps, the subject has the following location:
(x,y) = (-65.549, -86.7394)
 or
(m,a) = (108.722, -127.078)
Average outward distance per step = 0.445581
